UserID,Age,Gender,Region,Preferred_Language,Subscription_Plan,Signup_Date,Monthly_Spend_USD,Total_Watch_Hours_90,Num_Sessions_Last_30,Avg_Session_Min,Favorite_Genre,Preferred_Device,Num_Ratings,Avg_Rating,Reviews_Count,Sentiment_Score,Avg_Ad_View_Sec,Ad_Click_Rate,Implicit_Pref_Score,Top_Content_1,Top_Content_2,Top_Content_3,Last_Active_Date,Churn,Liked_Genres
200001,28,Female,India,English,Premium,12-05-2021,12.99,44.47,3,44.59,Thriller,Mobile,4,3.28,0,0.25,5.72,0.031,11.81,5606,5210,5517,03-09-2025,1,Thriller;Horror
200002,22,Female,India,Hindi,Basic,30-08-2021,3.99,23.77,6,41.1,Drama,Tablet,3,3.97,2,1,1,0.09,3.23,5092,5704,5243,11-11-2025,0,Drama;Horror
200003,45,Male,India,French,Basic,05-01-2020,3.99,10.28,5,33.56,Drama,Mobile,6,2.95,2,1,11.62,0.02,2.01,5420,5300,5630,05-11-2025,0,Drama;Horror
200004,36,Female,USA,Hindi,Basic,08-11-2024,3.99,52.38,8,35.34,Thriller,Mobile,4,3.88,4,1,17.39,0.152,6.97,5081,5124,5172,21-10-2025,0,Thriller;Romance
200005,30,Female,USA,English,Standard,08-01-2023,7.99,4.64,3,45.89,Thriller,Mobile,5,4.12,4,-0.2,10.81,0.074,1.23,5341,5796,5655,30-10-2025,0,Thriller;Drama
200006,45,Male,India,Hindi,Basic,25-04-2025,3.99,49.09,5,33.86,Comedy,Mobile,4,4.39,1,1,3.78,0.049,8.52,5421,5292,5835,22-10-2025,0,Comedy;Kids
200007,24,Male,India,English,Basic,21-10-2022,3.99,72.5,5,35.15,Comedy,TV,7,2.96,4,-0.24,6.57,0.069,13.73,5228,5421,5769,31-10-2025,0,Comedy;Horror
200008,28,Other,India,Spanish,Standard,21-11-2022,7.99,16.91,3,29,Drama,Mobile,9,4.59,0,-0.79,4.92,0.147,4.25,5895,5895,5920,11-11-2025,0,Drama;Horror
200009,34,Female,USA,Hindi,Basic,27-06-2021,3.99,112.78,6,39.31,Comedy,Mobile,6,4.82,2,0.27,8.33,0.036,18.49,5473,5812,5460,08-10-2025,0,Comedy;Horror
200010,20,Male,India,English,Premium,04-05-2024,12.99,34.06,10,38.5,Horror,Mobile,5,4.05,3,1,5.04,0.129,2.99,5088,5050,5365,17-10-2025,0,Horror;Documentary
200011,28,Female,Australia,Hindi,Basic,15-07-2021,3.99,30.63,6,44.01,Kids,TV,2,3.18,2,0.6,12.88,0.007,3.56,5350,5986,5830,10-11-2025,0,Kids;Comedy
200012,36,Male,India,Hindi,Basic,27-02-2022,3.99,7.08,6,29.21,Comedy,Mobile,7,3.6,3,0.16,8.71,0.201,1.18,5640,5881,5078,10-11-2025,0,Comedy;Kids
200013,36,Male,USA,English,Basic,03-08-2023,3.99,34.91,4,30.42,Thriller,Mobile,2,3.77,2,0.37,15.8,0.059,7.6,5810,5183,5569,04-11-2025,0,Thriller;Horror
200014,30,Male,India,Hindi,Standard,25-07-2020,7.99,77.51,9,42.92,Kids,Mobile,5,3.96,4,0.52,6.14,0.006,7.78,5190,5247,5490,28-10-2025,0,Kids;Documentary
200015,24,Male,India,English,Free,29-08-2023,0,8.63,4,37.52,Drama,Mobile,5,3.81,3,0.29,13.53,0.006,2.03,5867,5088,5532,07-11-2025,0,Drama;Horror
200016,22,Male,UK,Hindi,Basic,30-10-2023,3.99,45.45,4,25.94,Romance,Mobile,4,3.97,3,0.02,11.77,0.16,10.5,5981,5650,5954,10-11-2025,0,Romance;Horror
200017,30,Male,USA,Telugu,Premium,09-03-2022,12.99,95.26,6,48.07,Kids,TV,2,3.75,2,-0.24,14.38,0.017,11.48,5646,5550,5526,04-11-2025,0,Kids;Comedy
200018,30,Female,Australia,Telugu,Free,11-07-2022,0,45.95,1,18.02,Drama,TV,11,3.96,1,0.27,15.22,0.107,24.12,5981,5561,5206,08-09-2025,1,Drama;Documentary
200019,20,Male,India,Hindi,Standard,11-10-2020,7.99,53.11,6,42.84,Drama,Desktop,5,3.52,7,0.13,15.86,0.053,7.7,5136,5072,5749,07-11-2025,0,Drama;Drama
200020,26,Male,India,Hindi,Standard,09-10-2023,7.99,125.23,10,22.35,Horror,Mobile,8,3.6,1,0.2,16.98,0.053,12.64,5325,5770,5693,01-11-2025,0,Horror;Documentary
200021,24,Female,UK,English,Basic,09-09-2025,3.99,11.85,8,53.86,Thriller,Mobile,10,3.45,0,0.83,15.25,0.041,1.21,5040,5556,5291,21-10-2025,0,Thriller;Romance
200022,19,Male,USA,Tamil,Standard,16-09-2021,7.99,71.5,7,19.55,Drama,Mobile,10,4.95,0,0.05,13.79,0.151,7.18,5650,5291,5958,03-11-2025,0,Drama;Documentary
